CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2022-10-18 15:01:52.6038535,C:\Windows\System32\Tasks\Microsoft\Windows\Flighting\OneSettings\RefreshCache,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Flighting\OneSettings\RefreshCache,4482,A1E49529E854AAB6390F9F27CF4F263F9044D00C,False,2022-08-05 10:12:15.3110174,2022-10-18 12:41:38.5665807,2022-10-18 12:41:38.5665807,00:00:00.0156271
2022-10-18 15:01:52.6194749,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\DetectHardwareChange,3016,CE9BF6373F478F7D7C8F49D15C6F47A372C32225,False,2022-08-05 10:12:20.2172659,2022-09-10 20:30:36.5415506,2022-10-15 03:11:16.8938409,00:00:00
2022-10-18 15:01:52.6194749,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Autopilot\RemediateHardwareChange,2866,688742064B2BABBD3B79862BDD20DA815E0D17CF,False,2022-08-05 10:12:08.6703843,2022-09-10 20:30:34.5259265,2022-10-15 03:11:16.8938409,00:00:00
2022-10-18 15:01:52.6351078,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Cellular,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Cellular,2690,69AADD6EE92F966598E004BD6289BC6C340CC8E9,False,2022-08-05 10:12:24.1235177,2022-09-10 20:30:36.9009264,2022-10-15 03:11:16.9094724,00:00:00
2022-10-18 15:01:52.6507262,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Logon,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Logon,2704,25C4EE8F99BE07526986F6DE0A80B62C9DA9491D,False,2022-08-05 10:12:10.5610060,2022-09-10 20:30:34.8228012,2022-10-15 03:11:16.9250954,00:00:00
2022-10-18 15:01:52.6663540,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Retry,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\Retry,2610,A580C3C3DE31F8B3934A9264FB33402930745F2A,False,2022-08-05 10:12:08.4203834,2022-09-10 20:30:34.4321769,2022-10-15 03:11:16.9250954,00:00:00
2022-10-18 15:01:52.6819774,C:\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\RunOnReboot,C:\KAPE\TriageData_w10-example\C\Windows\System32\Tasks\Microsoft\Windows\Management\Provisioning\RunOnReboot,2634,720FC7E0A87881DF270F627F6AF53B3A6732287B,False,2022-08-05 10:12:08.7486033,2022-09-10 20:30:34.6353045,2022-10-15 03:11:16.9407224,00:00:00
2022-10-18 15:01:52.6976027,C:\Windows\System32\SRU\SRU.chk,C:\KAPE\TriageData_w10-example\C\Windows\System32\SRU\SRU.chk,8192,8F9E25DF329B5C72EABCD9472FFB6C84B5BCBC48,False,2022-08-05 10:12:10.5610060,2022-10-18 14:53:00.0612796,2022-10-18 14:53:00.0612796,00:00:00.0156253
2022-10-18 15:01:52.7132264,C:\Windows\System32\SRU\SRU.log,C:\KAPE\TriageData_w10-example\C\Windows\System32\SRU\SRU.log,65536,CEFDD6273B2A512A2A0A5674CA3B924AB84F787E,False,2022-08-05 10:12:10.3891405,2022-10-18 14:53:00.0612796,2022-10-18 14:53:00.0612796,00:00:00.0156237
2022-10-18 15:01:52.7288522,C:\Windows\System32\SRU\SRU00C7E.log,C:\KAPE\TriageData_w10-example\C\Windows\System32\SRU\SRU00C7E.log,65536,9C2601A965809BC7E6838CF1ACA188415A68058D,False,2022-08-05 10:12:10.3891405,2022-10-18 14:40:00.0425531,2022-10-18 14:40:00.0425531,00:00:00.0156258
