system,key,reglastwritetime,type,name,val
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Linkage","2022-09-10T20:31:02Z","multi_sz","Export",".NET Memory Cache 4.0"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Linkage","2022-09-10T20:31:02Z","multi_sz","Export",""
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","CategoryOptions","0x3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","sz","Close","ClosePerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","sz","Collect","CollectPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","binary","Counter Names","430061006300680065002000480069007400730000004300610063006800650020004d00690073007300650073000000430061006300680065002000480069007400200052006100740069006f000000430061006300680065002000480069007400200052006100740069006f002000420061007300650000004300610063006800650020005400720069006d007300000043006100630068006500200045006e007400720069006500730000004300610063006800650020005400750072006e006f007600650072002000520061007400650000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","binary","Counter Types","36003500350033003600000036003500350033003600000035003300370030003000330030003000380000003100300037003300390033003900340035003900000036003500350033003600000036003500350033003600000032003700320036003900360033003200300000000000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","FileMappingSize","0x20000"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","IsMultiInstance","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","expand_sz","Library","%systemroot%\system32\netfxperf.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","sz","Open","OpenPerformanceData"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","InstallType","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","sz","PerfIniFile","netmemorycache_d.ini"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","First Counter","0x1ae4"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","Last Counter","0x1af2"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","First Help","0x1ae5"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","dword","Last Help","0x1af3"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NET Memory Cache 4.0\Performance","2019-12-07T09:17:25Z","sz","Object List","6884"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","sz","Close","CloseCtrs"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","sz","Collect","CollectCtrs"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","expand_sz","Library","%systemroot%\system32\mscoree.dll"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","sz","Open","OpenCtrs"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","dword","InstallType","0x1"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","sz","PerfIniFile","corperfmonsymbols_d.ini"
"CrowdResponse","HKLM\SYSTEM\CurrentControlSet\services\.NETFramework\Performance","2019-12-07T09:17:26Z","dword","First Counter","0x2224"
