2022-10-11 06:15:06 status half-configured linux-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:06 status installed linux-tools-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:06 configure linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:06 status unpacked linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:06 status half-configured linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status installed linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status triggers-pending linux-image-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 configure linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:07 status unpacked linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status half-configured linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status installed linux-azure-5.15-cloud-tools-5.15.0-1021:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 configure linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1 <none>
2022-10-11 06:15:07 status unpacked linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status half-configured linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 status installed linux-headers-5.15.0-1021-azure:amd64 5.15.0-1021.26~20.04.1
2022-10-11 06:15:07 configure linux-headers-azure:amd64 5.15.0.1021.26~20.04.14 <none>
2022-10-11 06:15:07 status unpacked linux-headers-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status half-configured linux-headers-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 status installed linux-headers-azure:amd64 5.15.0.1021.26~20.04.14
2022-10-11 06:15:07 configure linux-image-azure:amd64 5.15.0.1021.26~20.04.14 <none>
